City_ID,City,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
0,saipan,15.191,145.7467,77.56,100,20,9.22,MP,1684250919
1,edinburgh of the seven seas,-37.0676,-12.3108,62.2,98,100,11.68,SH,1684250921
2,punta arenas,-53.1626,-70.9078,39.49,93,75,11.5,CL,1684250922
3,port elizabeth,-33.9617,25.6208,62.71,77,0,8.05,ZA,1684250923
4,kibaya,-2.1999,30.5627,74.98,75,25,3.18,RW,1684250924
5,nyurba,63.2866,118.3541,38.52,74,13,1.14,RU,1684250924
6,papatowai,-46.5619,169.4708,49.62,73,100,5.17,NZ,1684250925
7,xo'jaobod,40.666,72.5682,72.37,40,8,7.63,UZ,1684250926
8,sumbawanga,-7.9524,31.6232,64.69,81,60,1.52,TZ,1684250927
9,maardu,59.4682,24.9897,57.79,87,100,11.5,EE,1684250928
